category	subject_prefix	predicate	object_prefix	count_star()
biolink:GeneToPhenotypicFeatureAssociation	MGI	biolink:has_phenotype	MP	296123
biolink:GeneToPhenotypicFeatureAssociation	RGD	biolink:has_phenotype	MP	3613
biolink:GeneToPhenotypicFeatureAssociation	WB	biolink:has_phenotype	WBPhenotype	27343
biolink:GenotypeToPhenotypicFeatureAssociation	MGI	biolink:has_phenotype	MP	400433
biolink:GenotypeToPhenotypicFeatureAssociation	RGD	biolink:has_phenotype	MP	2072
biolink:VariantToPhenotypicFeatureAssociation	MGI	biolink:has_phenotype	MP	321748
biolink:VariantToPhenotypicFeatureAssociation	RGD	biolink:has_phenotype	MP	1869
biolink:VariantToPhenotypicFeatureAssociation	WB	biolink:has_phenotype	WBPhenotype	27703
